icao24,callsign,timestamp,latitude,longitude,altitude,on_ground,ground_speed,vertical_speed,ground_accel,heading,turn_rate,flight_duration,max_altitude,altitude_range
4d250b,WMT4429,2025-12-16 19:42:07,45.819678260869566,23.205639130434783,7102.826086956522,False,194.6872059492515,13.095108695652197,0.11461967796611247,272.72811742821625,-0.003282592166277709,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:42:17,45.82050434782609,23.180552173913043,7235.434782608696,False,195.1767995836138,13.2608695652174,0.04895936343623077,272.7141904629623,-0.0013926965253972412,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:42:27,45.82131666666666,23.1555,7315.0,False,194.89678870254255,7.9565217391304035,-0.028001088107126294,272.67288407241733,-0.0041306390544946225,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:42:37,45.82210833333333,23.1305,7315.0,False,194.47845936806218,0.0,-0.04183293344803758,272.61068135789435,-0.006220271452298221,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:42:47,45.8229,23.1055,7315.0,False,194.47570872055007,0.0,-0.0002750647512101523,272.61071842279904,3.706490468857737e-06,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:42:57,45.8211,23.0782,7620.0,False,213.0931560660665,30.5,1.8617447345516438,264.60501549422963,-0.8005702928569406,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:43:07,45.8157,23.0537,7620.0,False,199.64077833108854,0.0,-1.3452377734977972,252.45903804906592,-1.214597744516371,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:43:17,45.8076,23.03235,7772.0,False,188.79319958627167,15.2,-1.0847578744816873,241.44798116311836,-1.1011056885947568,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:43:27,45.796815384615385,23.01076923076923,8029.576923076923,False,206.18915902317767,25.757692307692288,1.7395959436905997,234.37345086783534,-0.7074530295283011,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:43:37,45.786276923076926,22.989846153846155,8146.884615384615,False,200.46498998667315,11.730769230769237,-0.5724169036504521,234.164880976542,-0.020856989129333668,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:43:47,45.77580357142857,22.968910714285716,8229.0,False,200.14593668216068,8.211538461538476,-0.03190533045124653,234.35441623416438,0.018953525762236724,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:43:57,45.765482142857145,22.947946428571427,8229.0,False,199.37665162561746,0.0,-0.07692850565432252,234.79221386206888,0.04377976279045015,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:44:07,45.755160714285715,22.926982142857142,8229.0,False,199.40113025557451,0.0,0.002447862995705918,234.79720670123817,0.0004992839169290164,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:44:17,45.74479411764706,22.905867647058823,8318.70588235294,False,200.6706798863649,8.970588235294054,0.12695496307903795,234.87706718414972,0.007986048291155613,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:44:27,45.734382352941175,22.88460294117647,8498.117647058823,False,201.94107066179376,17.94117647058829,0.1270390775428865,234.95601597454151,0.007894879039179159,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:44:37,45.72397058823529,22.86333823529412,8677.529411764706,False,201.96615554543058,17.94117647058829,0.0025084883636822043,234.96103671674817,0.0005020742206653494,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:44:47,45.71354137931034,22.842058620689656,8849.51724137931,False,202.19749257208693,17.198782961460346,0.023133702665634814,234.939848623161,-0.002118809358717044,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:44:57,45.702955172413795,22.820644827586207,8954.689655172413,False,204.080884933576,10.517241379310326,0.1883392361489058,234.7114191192197,-0.02284295039412996,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:45:07,45.69236896551724,22.79923103448276,9059.862068965518,False,204.10647589146396,10.517241379310509,0.0025590957887970944,234.71653395015954,0.0005114830939845661,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:45:17,45.68173902439025,22.777748780487805,9158.829268292682,False,204.84811264456297,9.896719932716405,0.07416367530990157,234.6965308818311,-0.002000306832843535,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:45:27,45.670934146341466,22.75599268292683,9232.975609756097,False,207.7387582514832,7.4146341463414505,0.2890645606920231,234.60294218299822,-0.009358869883288889,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:45:37,45.660129268292685,22.734236585365853,9307.121951219513,False,207.7652440955373,7.414634146341632,0.002648584405409338,234.6081637355751,0.000522155257687018,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:45:47,45.649324390243905,22.71248048780488,9381.268292682927,False,207.79172672903087,7.4146341463414505,0.002648263349357194,234.6133829863798,0.0005219250804714193,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:45:57,45.63847142857143,22.690640000000002,9456.714285714286,False,208.664026163286,7.544599303135874,0.0872299434255126,234.60325148013072,-0.0010131506249081213,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:46:07,45.627185714285716,22.66804,9543.857142857143,False,216.3046486659926,8.714285714285689,0.7640622502706605,234.47578066391742,-0.01274708162133038,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:46:17,45.615899999999996,22.64544,9631.0,False,216.3333178423136,8.714285714285689,0.0028669176320988755,234.481234574524,0.0005453910606576073,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:46:27,45.604614285714284,22.62284,9718.142857142857,False,216.3619833893684,8.714285714285689,0.0028665547054799847,234.48668597919237,0.0005451404668377791,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:46:37,45.59334285714286,22.6002,9796.57142857143,False,216.55311677214223,7.8428571428572464,0.019113338277384172,234.57432942187745,0.008764344268507784,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:46:47,45.58208095238095,22.577533333333335,9869.190476190477,False,216.69043425867827,7.261904761904771,0.013731748653603404,234.6344881375972,0.00601587157197514,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:46:57,45.57081904761905,22.554866666666666,9941.809523809523,False,216.71916285607958,7.261904761904589,0.002872859740131162,234.6399115550798,0.0005423417482603554,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:47:07,45.55955714285714,22.5322,10014.42857142857,False,216.7478877973811,7.261904761904771,0.0028724941301533136,234.64533248080204,0.000542092572223396,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:47:17,45.548352,22.509664,10082.4,False,215.57926047786628,6.797142857142899,-0.1168627319514826,234.63099011385702,-0.0014342366945015784,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:47:27,45.537231999999996,22.487324,10143.4,False,213.81143091411485,6.1,-0.17678295637514338,234.60632719854505,-0.0024662915311978394,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:47:37,45.526112,22.464984,10204.4,False,213.83935689307464,6.1,0.002792597895978588,234.611675747385,0.0005348548839947398,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:47:47,45.514992,22.442644,10265.4,False,213.86727935435016,6.1,0.002792246127552289,234.61702187138337,0.0005346123998378971,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:47:57,45.503872,22.420304,10326.4,False,213.8951982950707,6.1,0.0027918940720553565,234.6223655716374,0.0005343700254030637,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:48:07,45.49262857142857,22.397814285714286,10392.047619047618,False,215.67138462903478,6.5647619047618715,0.17761863339640627,234.5097963598364,-0.01125692118010022,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:48:17,45.4812,22.3751,10464.666666666666,False,218.324058827677,7.261904761904771,0.26526741986422164,234.34189505428387,-0.016790130555253312,5640.0,11582.0,11582.0
