icao24,callsign,timestamp,latitude,longitude,altitude,on_ground,ground_speed,vertical_speed,ground_accel,heading,turn_rate,flight_duration,max_altitude,altitude_range,anomaly_rule,anomaly_reason,anomaly_ml,anomaly_score,shape_anomaly,cluster,anomaly_combined
a214bd,N233ME,2025-12-16 18:32:52,34.30731461538461,-118.86088153846154,914.0,False,8.323164222041907,0.0,1.3753976460861849e-06,101.18221585300722,-1.8806228752055176e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:33:02,34.307169743589746,-118.85999435897436,914.0,False,8.32317797591232,0.0,1.3753870412358537e-06,101.18219704635868,-1.8806648540703463e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:33:12,34.30702487179487,-118.85910717948718,914.0,False,8.323191729959243,0.0,1.3754046923608598e-06,101.18217824142482,-1.8804933858973527e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:33:22,34.30688,-118.85822,914.0,False,8.323205483688207,0.0,1.375372896461613e-06,101.18215943480124,-1.8806623586442584e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:33:32,34.306735128205126,-118.85733282051282,914.0,False,8.323219237381723,0.0,1.3753693515639042e-06,101.18214063037097,-1.880443028312584e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:33:42,34.30659025641025,-118.85644564102564,914.0,False,8.323232991181147,0.0,1.3753799423810165e-06,101.18212182480296,-1.880556800415434e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:33:52,34.30644538461539,-118.85555846153846,914.0,False,8.3232467449451,0.0,1.3753763953516796e-06,101.1821030188151,-1.8805987849646044e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:34:02,34.30630051282051,-118.85467128205129,914.0,False,8.323260498461753,0.0,1.3753516652670327e-06,101.18208421454187,-1.8804273224759527e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:34:12,34.30615564102564,-118.8537841025641,914.0,False,8.323274252119614,0.0,1.3753657860604563e-06,101.18206540977552,-1.8804766341418145e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:34:22,34.30601076923077,-118.85289692307693,914.0,False,8.32328800570674,0.0,1.3753587126075218e-06,101.1820466050487,-1.880472683524204e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:34:32,34.3058658974359,-118.85200974358976,914.0,False,8.323301759117138,0.0,1.375341039810962e-06,101.1820277994234,-1.880562530232055e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:34:42,34.30572102564103,-118.85112256410255,914.0,False,8.323315512527456,0.0,1.3753410318173564e-06,101.1820089955321,-1.88038912938282e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:34:52,34.305576153846154,-118.8502353846154,914.0,False,8.323329265937677,0.0,1.3753410220473938e-06,101.1819901904837,-1.8805048398462527e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:35:02,34.30543128205128,-118.8493482051282,914.0,False,8.32334301924187,0.0,1.3753304193286908e-06,101.18197138709598,-1.8803387717980515e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:35:12,34.30528641025641,-118.84846102564104,914.0,False,8.323356772581288,0.0,1.3753339418443034e-06,101.1819525825511,-1.8804544879458264e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:35:22,34.30514153846154,-118.84757384615384,914.0,False,8.323370525744,0.0,1.375316271179372e-06,101.18193377854374,-1.880400736808952e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:35:32,34.30499666666667,-118.84668666666668,914.0,False,8.323384279012586,0.0,1.3753268586214062e-06,101.18191497483446,-1.8803709281201008e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:35:42,34.304851794871794,-118.84579948717948,914.0,False,8.323398032104457,0.0,1.3753091870682964e-06,101.18189617092531,-1.8803909142661724e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:35:52,34.30470692307692,-118.84491230769233,914.0,False,8.323411785125586,0.0,1.3753021129048193e-06,101.1818773682715,-1.88026538125996e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:36:02,34.30456205128205,-118.84402512820512,914.0,False,8.323425538181917,0.0,1.375305633111168e-06,101.18185856352272,-1.8804748776801715e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:36:12,34.30441717948718,-118.84313794871797,914.0,False,8.323439291202938,0.0,1.3753021020690425e-06,101.18183976024926,-1.8803273462708605e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:36:22,34.30427230769231,-118.84225076923076,914.0,False,8.323453044047188,0.0,1.3752844250092269e-06,101.18182095672204,-1.88035272117304e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:36:32,34.304127435897435,-118.8413635897436,914.0,False,8.323466796962023,0.0,1.3752914835407635e-06,101.18180215443071,-1.8802291322117523e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:36:42,34.30398256410256,-118.8404764102564,914.0,False,8.323480549770766,0.0,1.3752808742495404e-06,101.1817833514803,-1.8802950421559216e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:36:52,34.303837692307695,-118.83958923076923,914.0,False,8.32349430254413,0.0,1.375277336457259e-06,101.18176454763147,-1.8803848831794312e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:37:02,34.30369282051282,-118.83870205128206,914.0,False,8.323508055211402,0.0,1.3752667271660355e-06,101.18174574621514,-1.8801416331371e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:37:12,34.30354794871795,-118.83781487179488,914.0,False,8.32352180791397,0.0,1.3752702567870756e-06,101.18172694239126,-1.8803823877533437e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:37:22,34.303403076923075,-118.8369276923077,914.0,False,8.323535560581062,0.0,1.3752667092248316e-06,101.18170814099985,-1.880139143395354e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:37:32,34.3032582051282,-118.83604051282052,914.0,False,8.3235493132481,0.0,1.3752667037181251e-06,101.18168933894935,-1.8802050476551813e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:37:42,34.303113333333336,-118.83515333333334,914.0,False,8.323563065561824,0.0,1.3752313725134969e-06,101.18167053528248,-1.880366687601054e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:37:52,34.30296846153846,-118.83426615384616,914.0,False,8.323576818158006,0.0,1.3752596181859644e-06,101.1816517342874,-1.8800995064793824e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:38:02,34.30282358974359,-118.83337897435898,914.0,False,8.32359057061279,0.0,1.3752454783855228e-06,101.18163293208136,-1.8802206056989236e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:38:12,34.30267871794872,-118.8324917948718,914.0,False,8.32360432289097,0.0,1.3752278180234612e-06,101.18161413063255,-1.880144878896317e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:38:22,34.30253384615385,-118.83160461538462,914.0,False,8.323618075168964,0.0,1.3752277993717144e-06,101.18159532804611,-1.880258645314825e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:38:32,34.302388974358976,-118.83071743589744,914.0,False,8.323631827552877,0.0,1.3752383912546406e-06,101.18157652791147,-1.8800134625962529e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:38:42,34.3022441025641,-118.82983025641026,914.0,False,8.323645579901347,0.0,1.3752348470674747e-06,101.18155772590184,-1.880200966297707e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:38:52,34.30209923076923,-118.82894307692308,914.0,False,8.323659331896568,0.0,1.375199522080095e-06,101.18153892538686,-1.8800514965278123e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:39:02,34.30195435897436,-118.8280558974359,914.0,False,8.323673084032935,0.0,1.3752136366562696e-06,101.1815201234948,-1.8801892053943448e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:39:12,34.30180948717949,-118.82716871794872,914.0,False,8.323686836063256,0.0,1.3752030321612096e-06,101.18150132188153,-1.8801613293817355e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:39:22,34.30166461538462,-118.82628153846154,914.0,False,8.323700588164154,0.0,1.3752100898045685e-06,101.1814825224074,-1.8799474105435368e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:39:32,34.30151974358974,-118.82539435897436,914.0,False,8.323714340123628,0.0,1.3751959473395914e-06,101.181463720819,-1.8801588396399892e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:39:42,34.30137487179487,-118.82450717948718,914.0,False,8.32372809201243,0.0,1.3751888802815416e-06,101.18144492120382,-1.8799615190800976e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:39:52,34.301230000000004,-118.82362,914.0,False,8.32374184386578,0.0,1.3751853350285614e-06,101.18142611925448,-1.880194935210966e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
